timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1765208631811,37162,HTTP Request,200,OK,Shoppers (Race Condition) 1-47,text,true,,428,595,58,58,http://localhost:5000/api/orders,37162,0,1
1765208631820,38101,HTTP Request,200,OK,Shoppers (Race Condition) 1-48,text,true,,428,595,57,57,http://localhost:5000/api/orders,38101,0,1
1765208631839,39047,HTTP Request,200,OK,Shoppers (Race Condition) 1-50,text,true,,428,595,56,56,http://localhost:5000/api/orders,39047,0,1
1765208631761,40446,HTTP Request,200,OK,Shoppers (Race Condition) 1-42,text,true,,428,595,55,55,http://localhost:5000/api/orders,40446,0,1
1765208631487,41626,HTTP Request,200,OK,Shoppers (Race Condition) 1-4,text,true,,428,595,54,54,http://localhost:5000/api/orders,41625,0,44
1765208631830,42594,HTTP Request,200,OK,Shoppers (Race Condition) 1-49,text,true,,428,595,53,53,http://localhost:5000/api/orders,42594,0,2
1765208631900,43799,HTTP Request,200,OK,Shoppers (Race Condition) 1-56,text,true,,428,595,52,52,http://localhost:5000/api/orders,43799,0,1
1765208631880,44712,HTTP Request,200,OK,Shoppers (Race Condition) 1-54,text,true,,428,595,51,51,http://localhost:5000/api/orders,44712,0,1
1765208631929,45990,HTTP Request,200,OK,Shoppers (Race Condition) 1-59,text,true,,428,595,50,50,http://localhost:5000/api/orders,45989,0,1
1765208631851,47320,HTTP Request,200,OK,Shoppers (Race Condition) 1-51,text,true,,428,595,49,49,http://localhost:5000/api/orders,47320,0,1
1765208631750,48309,HTTP Request,200,OK,Shoppers (Race Condition) 1-41,text,true,,428,595,48,48,http://localhost:5000/api/orders,48309,0,1
1765208631909,49121,HTTP Request,200,OK,Shoppers (Race Condition) 1-57,text,true,,428,595,47,47,http://localhost:5000/api/orders,49121,0,1
1765208631890,50093,HTTP Request,200,OK,Shoppers (Race Condition) 1-55,text,true,,428,595,46,46,http://localhost:5000/api/orders,50093,0,1
1765208631661,51267,HTTP Request,200,OK,Shoppers (Race Condition) 1-32,text,true,,428,595,45,45,http://localhost:5000/api/orders,51267,0,1
1765208631869,52027,HTTP Request,200,OK,Shoppers (Race Condition) 1-53,text,true,,428,595,44,44,http://localhost:5000/api/orders,52027,0,1
1765208631950,53279,HTTP Request,200,OK,Shoppers (Race Condition) 1-61,text,true,,428,595,43,43,http://localhost:5000/api/orders,53279,0,1
1765208631959,54521,HTTP Request,200,OK,Shoppers (Race Condition) 1-62,text,true,,428,595,42,42,http://localhost:5000/api/orders,54521,0,1
1765208631919,55414,HTTP Request,500,Internal Server Error,Shoppers (Race Condition) 1-58,text,false,,330,595,41,41,http://localhost:5000/api/orders,55414,0,1
1765208631989,55925,HTTP Request,500,Internal Server Error,Shoppers (Race Condition) 1-65,text,false,,330,595,40,40,http://localhost:5000/api/orders,55925,0,2
1765208632030,56765,HTTP Request,500,Internal Server Error,Shoppers (Race Condition) 1-69,text,false,,330,595,39,39,http://localhost:5000/api/orders,56765,0,1
1765208632021,57616,HTTP Request,500,Internal Server Error,Shoppers (Race Condition) 1-68,text,false,,330,595,38,38,http://localhost:5000/api/orders,57616,0,1
1765208631860,58364,HTTP Request,500,Internal Server Error,Shoppers (Race Condition) 1-52,text,false,,330,595,37,37,http://localhost:5000/api/orders,58364,0,2
1765208631979,58887,HTTP Request,500,Internal Server Error,Shoppers (Race Condition) 1-64,text,false,,330,595,36,36,http://localhost:5000/api/orders,58887,0,1
1765208631940,59554,HTTP Request,500,Internal Server Error,Shoppers (Race Condition) 1-60,text,false,,330,595,35,35,http://localhost:5000/api/orders,59554,0,1
1765208632040,60337,HTTP Request,500,Internal Server Error,Shoppers (Race Condition) 1-70,text,false,,330,595,34,34,http://localhost:5000/api/orders,60337,0,0
1765208632049,60911,HTTP Request,500,Internal Server Error,Shoppers (Race Condition) 1-71,text,false,,330,595,33,33,http://localhost:5000/api/orders,60911,0,1
1765208632060,61787,HTTP Request,500,Internal Server Error,Shoppers (Race Condition) 1-72,text,false,,330,595,32,32,http://localhost:5000/api/orders,61787,0,0
1765208631969,62459,HTTP Request,500,Internal Server Error,Shoppers (Race Condition) 1-63,text,false,,330,595,31,31,http://localhost:5000/api/orders,62459,0,2
1765208631999,63067,HTTP Request,500,Internal Server Error,Shoppers (Race Condition) 1-66,text,false,,330,595,30,30,http://localhost:5000/api/orders,63067,0,1
1765208632070,63886,HTTP Request,500,Internal Server Error,Shoppers (Race Condition) 1-73,text,false,,330,595,29,29,http://localhost:5000/api/orders,63886,0,1
1765208632010,64533,HTTP Request,500,Internal Server Error,Shoppers (Race Condition) 1-67,text,false,,330,595,28,28,http://localhost:5000/api/orders,64533,0,0
1765208632079,65089,HTTP Request,500,Internal Server Error,Shoppers (Race Condition) 1-74,text,false,,330,595,27,27,http://localhost:5000/api/orders,65089,0,1
1765208632091,65716,HTTP Request,500,Internal Server Error,Shoppers (Race Condition) 1-75,text,false,,330,595,26,26,http://localhost:5000/api/orders,65716,0,0
1765208632100,66338,HTTP Request,500,Internal Server Error,Shoppers (Race Condition) 1-76,text,false,,330,595,25,25,http://localhost:5000/api/orders,66338,0,1
1765208632110,67217,HTTP Request,500,Internal Server Error,Shoppers (Race Condition) 1-77,text,false,,330,595,24,24,http://localhost:5000/api/orders,67217,0,1
1765208632120,67787,HTTP Request,500,Internal Server Error,Shoppers (Race Condition) 1-78,text,false,,330,595,23,23,http://localhost:5000/api/orders,67787,0,1
1765208632130,68665,HTTP Request,500,Internal Server Error,Shoppers (Race Condition) 1-79,text,false,,330,595,22,22,http://localhost:5000/api/orders,68665,0,0
1765208632140,69227,HTTP Request,500,Internal Server Error,Shoppers (Race Condition) 1-80,text,false,,330,595,21,21,http://localhost:5000/api/orders,69227,0,1
1765208632151,69850,HTTP Request,500,Internal Server Error,Shoppers (Race Condition) 1-81,text,false,,330,595,20,20,http://localhost:5000/api/orders,69850,0,1
1765208632161,70728,HTTP Request,500,Internal Server Error,Shoppers (Race Condition) 1-82,text,false,,330,595,19,19,http://localhost:5000/api/orders,70728,0,0
1765208632171,71305,HTTP Request,500,Internal Server Error,Shoppers (Race Condition) 1-83,text,false,,330,595,18,18,http://localhost:5000/api/orders,71305,0,1
1765208632180,71918,HTTP Request,500,Internal Server Error,Shoppers (Race Condition) 1-84,text,false,,330,595,17,17,http://localhost:5000/api/orders,71918,0,1
1765208632189,72539,HTTP Request,500,Internal Server Error,Shoppers (Race Condition) 1-85,text,false,,330,595,16,16,http://localhost:5000/api/orders,72539,0,1
1765208632199,73154,HTTP Request,500,Internal Server Error,Shoppers (Race Condition) 1-86,text,false,,330,595,15,15,http://localhost:5000/api/orders,73154,0,2
1765208632209,74024,HTTP Request,500,Internal Server Error,Shoppers (Race Condition) 1-87,text,false,,330,595,14,14,http://localhost:5000/api/orders,74024,0,1
1765208632220,74598,HTTP Request,500,Internal Server Error,Shoppers (Race Condition) 1-88,text,false,,330,595,13,13,http://localhost:5000/api/orders,74598,0,1
1765208632230,75480,HTTP Request,500,Internal Server Error,Shoppers (Race Condition) 1-89,text,false,,330,595,12,12,http://localhost:5000/api/orders,75480,0,1
1765208632240,76063,HTTP Request,500,Internal Server Error,Shoppers (Race Condition) 1-90,text,false,,330,595,11,11,http://localhost:5000/api/orders,76063,0,1
1765208632250,76680,HTTP Request,500,Internal Server Error,Shoppers (Race Condition) 1-91,text,false,,330,595,10,10,http://localhost:5000/api/orders,76680,0,1
1765208632259,77563,HTTP Request,500,Internal Server Error,Shoppers (Race Condition) 1-92,text,false,,330,595,9,9,http://localhost:5000/api/orders,77563,0,1
1765208632270,78140,HTTP Request,500,Internal Server Error,Shoppers (Race Condition) 1-93,text,false,,330,595,8,8,http://localhost:5000/api/orders,78140,0,1
1765208632280,78753,HTTP Request,500,Internal Server Error,Shoppers (Race Condition) 1-94,text,false,,330,595,7,7,http://localhost:5000/api/orders,78753,0,1
1765208632290,79379,HTTP Request,500,Internal Server Error,Shoppers (Race Condition) 1-95,text,false,,330,595,6,6,http://localhost:5000/api/orders,79379,0,1
1765208632299,79991,HTTP Request,500,Internal Server Error,Shoppers (Race Condition) 1-96,text,false,,330,595,5,5,http://localhost:5000/api/orders,79991,0,1
1765208632310,80865,HTTP Request,500,Internal Server Error,Shoppers (Race Condition) 1-97,text,false,,330,595,4,4,http://localhost:5000/api/orders,80865,0,1
1765208632320,81433,HTTP Request,500,Internal Server Error,Shoppers (Race Condition) 1-98,text,false,,330,595,3,3,http://localhost:5000/api/orders,81433,0,0
1765208632330,82304,HTTP Request,500,Internal Server Error,Shoppers (Race Condition) 1-99,text,false,,330,595,2,2,http://localhost:5000/api/orders,82304,0,1
1765208632341,82866,HTTP Request,500,Internal Server Error,Shoppers (Race Condition) 1-100,text,false,,330,595,1,1,http://localhost:5000/api/orders,82866,0,1
